date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:38:49	21356/21356	---M--	200	added ('OK')	text/html	etag:%22536c-54a0e2aa284dd%22	https://abc/wedding/wedding-new/vendor-listing-bubba.html	C:/client%203/abc/wedding/wedding-new/vendor-listing-bubba.html	(from https://abc/wedding/wedding-new/index.html)
22:38:50	21736/21736	---M--	200	added ('OK')	text/html	etag:%2254e8-54a0e2a8deb59%22	https://abc/wedding/wedding-new/vendor-listing-ocean.html	C:/client%203/abc/wedding/wedding-new/vendor-listing-ocean.html	(from https://abc/wedding/wedding-new/index.html)
22:38:50	42664/42664	---M--	200	added ('OK')	text/html	etag:%22a6a8-54a0e2ae9dada%22	https://abc/wedding/wedding-new/vendor-details.html	C:/client%203/abc/wedding/wedding-new/vendor-details.html	(from https://abc/wedding/wedding-new/index.html)
22:38:50	44836/44836	---M--	200	added ('OK')	text/html	etag:%22af24-54a0e2aeaa213%22	https://abc/wedding/wedding-new/vendor-details-tabbed.html	C:/client%203/abc/wedding/wedding-new/vendor-details-tabbed.html	(from https://abc/wedding/wedding-new/index.html)
22:38:51	36387/36387	---M--	200	added ('OK')	text/html	etag:%228e23-54a0e2a612a26%22	https://abc/wedding/wedding-new/vendor-profile.html	C:/client%203/abc/wedding/wedding-new/vendor-profile.html	(from https://abc/wedding/wedding-new/index.html)
22:38:51	43718/43718	---M--	200	added ('OK')	text/html	etag:%22aac6-54a0e2a49ba10%22	https://abc/wedding/wedding-new/venue-listing.html	C:/client%203/abc/wedding/wedding-new/venue-listing.html	(from https://abc/wedding/wedding-new/index.html)
22:38:51	34874/34874	---M--	200	added ('OK')	text/html	etag:%22883a-54a0e2ba910ca%22	https://abc/wedding/wedding-new/photography-listing.html	C:/client%203/abc/wedding/wedding-new/photography-listing.html	(from https://abc/wedding/wedding-new/index.html)
22:38:54	35228/35228	---M--	200	added ('OK')	text/html	etag:%22899c-54a0e2a49641f%22	https://abc/wedding/wedding-new/videography-listing.html	C:/client%203/abc/wedding/wedding-new/videography-listing.html	(from https://abc/wedding/wedding-new/index.html)
22:38:55	35609/35609	---M--	200	added ('OK')	text/html	etag:%228b19-54a0e2caf892f%22	https://abc/wedding/wedding-new/cake-listing.html	C:/client%203/abc/wedding/wedding-new/cake-listing.html	(from https://abc/wedding/wedding-new/index.html)
22:38:55	35343/35343	---M--	200	added ('OK')	text/html	etag:%228a0f-54a0e2ba9a53a%22	https://abc/wedding/wedding-new/music-listing.html	C:/client%203/abc/wedding/wedding-new/music-listing.html	(from https://abc/wedding/wedding-new/index.html)
22:38:55	18346/18346	---M--	200	added ('OK')	text/html	etag:%2247aa-54a0e2b7cf3a7%22	https://abc/wedding/wedding-new/planning-to-do.html	C:/client%203/abc/wedding/wedding-new/planning-to-do.html	(from https://abc/wedding/wedding-new/index.html)
22:38:56	18142/18142	---M--	200	added ('OK')	text/html	etag:%2246de-54a0e2b91d764%22	https://abc/wedding/wedding-new/planning-budget.html	C:/client%203/abc/wedding/wedding-new/planning-budget.html	(from https://abc/wedding/wedding-new/index.html)
22:38:56	18200/18200	---M--	200	added ('OK')	text/html	etag:%224718-54a0e2c67f0ca%22	https://abc/wedding/wedding-new/couple-landing-page.html	C:/client%203/abc/wedding/wedding-new/couple-landing-page.html	(from https://abc/wedding/wedding-new/index.html)
22:38:56	17875/17875	---M--	200	added ('OK')	text/html	etag:%2245d3-54a0e2c7c4fb5%22	https://abc/wedding/wedding-new/couple-dashboard.html	C:/client%203/abc/wedding/wedding-new/couple-dashboard.html	(from https://abc/wedding/wedding-new/index.html)
22:38:57	15424/15424	---M--	200	added ('OK')	text/html	etag:%223c40-54a0e2c2647f2%22	https://abc/wedding/wedding-new/dashboard-vendor.html	C:/client%203/abc/wedding/wedding-new/dashboard-vendor.html	(from https://abc/wedding/wedding-new/index.html)
22:38:58	26367/26367	---M--	200	added ('OK')	text/html	etag:%2266ff-54a0e2cc7eb76%22	https://abc/wedding/wedding-new/blog.html	C:/client%203/abc/wedding/wedding-new/blog.html	(from https://abc/wedding/wedding-new/index.html)
22:38:58	34934/34934	---M--	200	added ('OK')	text/html	etag:%228876-54a0e2ccc3cf2%22	https://abc/wedding/wedding-new/blog-single.html	C:/client%203/abc/wedding/wedding-new/blog-single.html	(from https://abc/wedding/wedding-new/index.html)
22:38:58	26302/26302	---M--	200	added ('OK')	text/html	etag:%2266be-54a0e2ce3f741%22	https://abc/wedding/wedding-new/about-us.html	C:/client%203/abc/wedding/wedding-new/about-us.html	(from https://abc/wedding/wedding-new/index.html)
22:38:58	19050/19050	---M--	200	added ('OK')	text/html	etag:%224a6a-54a0e2cb47ebb%22	https://abc/wedding/wedding-new/contact-us.html	C:/client%203/abc/wedding/wedding-new/contact-us.html	(from https://abc/wedding/wedding-new/index.html)
22:38:59	14380/14380	---M--	200	added ('OK')	text/html	etag:%22382c-54a0e2ce2a368%22	https://abc/wedding/wedding-new/404-error.html	C:/client%203/abc/wedding/wedding-new/404-error.html	(from https://abc/wedding/wedding-new/index.html)
22:39:00	20422/20422	---M--	200	added ('OK')	text/html	etag:%224fc6-54a0e2b27b31d%22	https://abc/wedding/wedding-new/shortcode-columns.html	C:/client%203/abc/wedding/wedding-new/shortcode-columns.html	(from https://abc/wedding/wedding-new/index.html)
22:39:00	21949/21949	---M--	200	added ('OK')	text/html	etag:%2255bd-54a0e2b3c3919%22	https://abc/wedding/wedding-new/shortcode-accordion.html	C:/client%203/abc/wedding/wedding-new/shortcode-accordion.html	(from https://abc/wedding/wedding-new/index.html)
22:39:00	17661/17661	---M--	200	added ('OK')	text/html	etag:%2244fd-54a0e2b13310a%22	https://abc/wedding/wedding-new/shortcode-tabs.html	C:/client%203/abc/wedding/wedding-new/shortcode-tabs.html	(from https://abc/wedding/wedding-new/index.html)
22:39:01	14495/14495	---M--	200	added ('OK')	text/html	etag:%22389f-54a0e2b274d8d%22	https://abc/wedding/wedding-new/shortcode-pagination.html	C:/client%203/abc/wedding/wedding-new/shortcode-pagination.html	(from https://abc/wedding/wedding-new/index.html)
22:39:01	15998/15998	---M--	200	added ('OK')	text/html	etag:%223e7e-54a0e2b12b7f1%22	https://abc/wedding/wedding-new/shortcode-typography.html	C:/client%203/abc/wedding/wedding-new/shortcode-typography.html	(from https://abc/wedding/wedding-new/index.html)
22:39:02	15523/15523	---M--	200	added ('OK')	text/html	etag:%223ca3-54a0e2b3c2591%22	https://abc/wedding/wedding-new/shordcods-alerts.html	C:/client%203/abc/wedding/wedding-new/shordcods-alerts.html	(from https://abc/wedding/wedding-new/index.html)
22:39:02	27227/27227	---M--	200	added ('OK')	text/html	etag:%226a5b-54a0e2cfb4430%22	https://abc/wedding/wedding-new/wedding-guideline.html	C:/client%203/abc/wedding/wedding-new/wedding-guideline.html	(from https://abc/wedding/wedding-new/index.html)
22:39:03	20699/20699	---M--	200	added ('OK')	text/html	etag:%2250db-54a0e2b51305d%22	https://abc/wedding/wedding-new/real-wedding-listing.html	C:/client%203/abc/wedding/wedding-new/real-wedding-listing.html	(from https://abc/wedding/wedding-new/index.html)
22:39:03	26524/26524	---M--	200	added ('OK')	text/html	etag:%22679c-54a0e2b53eb98%22	https://abc/wedding/wedding-new/real-wedding-single.html	C:/client%203/abc/wedding/wedding-new/real-wedding-single.html	(from https://abc/wedding/wedding-new/index.html)
22:39:06	799791/799791	---M--	200	added ('OK')	image/jpeg	etag:%22c342f-52016f8420980%22	https://abc/wedding/wedding-new/images/hero-image-3.jpg	C:/client%203/abc/wedding/wedding-new/images/hero-image-3.jpg	(from https://abc/wedding/wedding-new/index.html)
22:39:06	666410/666410	---M--	200	added ('OK')	image/jpeg	etag:%22a2b2a-521aa61e35a80%22	https://abc/wedding/wedding-new/images/hero-image-2.jpg	C:/client%203/abc/wedding/wedding-new/images/hero-image-2.jpg	(from https://abc/wedding/wedding-new/index.html)
22:39:07	3308/3308	---M--	200	added ('OK')	image/svg+xml	etag:%22cec-5201732ca2b00%22	https://abc/wedding/wedding-new/images/vendor.svg	C:/client%203/abc/wedding/wedding-new/images/vendor.svg	(from https://abc/wedding/wedding-new/index.html)
22:39:07	2264/2264	---M--	200	added ('OK')	image/svg+xml	etag:%228d8-5201735e3a000%22	https://abc/wedding/wedding-new/images/mail.svg	C:/client%203/abc/wedding/wedding-new/images/mail.svg	(from https://abc/wedding/wedding-new/index.html)
22:39:08	562019/562019	---M--	200	added ('OK')	image/jpeg	etag:%2289363-5201788fa6080%22	https://abc/wedding/wedding-new/images/hero-image.jpg	C:/client%203/abc/wedding/wedding-new/images/hero-image.jpg	(from https://abc/wedding/wedding-new/index.html)
22:39:08	4387/4387	---M--	200	added ('OK')	image/svg+xml	etag:%221123-520172d8b6500%22	https://abc/wedding/wedding-new/images/couple.svg	C:/client%203/abc/wedding/wedding-new/images/couple.svg	(from https://abc/wedding/wedding-new/index.html)
22:39:09	287765/287765	---M--	200	added ('OK')	image/jpeg	etag:%2246415-521bfbe232e00%22	https://abc/wedding/wedding-new/images/vendor-1.jpg	C:/client%203/abc/wedding/wedding-new/images/vendor-1.jpg	(from https://abc/wedding/wedding-new/index.html)
22:39:09	217125/217125	---M--	200	added ('OK')	image/jpeg	etag:%2235025-521bfd3d56100%22	https://abc/wedding/wedding-new/images/vendor-4.jpg	C:/client%203/abc/wedding/wedding-new/images/vendor-4.jpg	(from https://abc/wedding/wedding-new/index.html)
22:39:17	99361/99361	---M--	200	added ('OK')	image/jpeg	etag:%2218421-5203b31e7fe00%22	https://abc/wedding/wedding-new/images/location-pic.jpg	C:/client%203/abc/wedding/wedding-new/images/location-pic.jpg	(from https://abc/wedding/wedding-new/index.html)
22:39:18	75143/75143	---M--	200	added ('OK')	image/jpeg	etag:%2212587-5203b37825180%22	https://abc/wedding/wedding-new/images/location-pic-2.jpg	C:/client%203/abc/wedding/wedding-new/images/location-pic-2.jpg	(from https://abc/wedding/wedding-new/index.html)
22:39:22	77191/77191	---M--	200	added ('OK')	image/jpeg	etag:%2212d87-5203b3894fa00%22	https://abc/wedding/wedding-new/images/location-pic-3.jpg	C:/client%203/abc/wedding/wedding-new/images/location-pic-3.jpg	(from https://abc/wedding/wedding-new/index.html)
22:39:24	184192/184192	---M--	200	added ('OK')	image/jpeg	etag:%222cf80-5203b3bccf380%22	https://abc/wedding/wedding-new/images/location-pic-4.jpg	C:/client%203/abc/wedding/wedding-new/images/location-pic-4.jpg	(from https://abc/wedding/wedding-new/index.html)
22:39:32	311775/311775	---M--	200	added ('OK')	image/jpeg	etag:%224c1df-521bfcd286500%22	https://abc/wedding/wedding-new/images/vendor-3.jpg	C:/client%203/abc/wedding/wedding-new/images/vendor-3.jpg	(from https://abc/wedding/wedding-new/index.html)
22:39:33	28707/28707	---M--	200	added ('OK')	image/jpeg	etag:%227023-5218fd4d01580%22	https://abc/wedding/wedding-new/images/couple-2.jpg	C:/client%203/abc/wedding/wedding-new/images/couple-2.jpg	(from https://abc/wedding/wedding-new/index.html)
